id,created_date,water_pH,TDS,water_temp
217562,2023-01-31 01:00:00,6.78,296,24.69
217563,2023-01-31 01:00:00,7.36,296,24.69
217564,2023-01-31 01:00:00,6.99,298,24.69
217565,2023-01-31 01:00:00,7.07,294,24.69
217566,2023-01-31 01:00:00,7.31,296,24.69
217568,2023-01-31 01:01:00,7.2,296,24.69
217569,2023-01-31 01:01:00,7.05,296,24.69
217570,2023-01-31 01:01:00,7.38,296,24.69
217571,2023-01-31 01:01:00,6.53,296,24.69
217572,2023-01-31 01:01:00,7.2,294,24.69
217575,2023-01-31 01:01:00,6.51,298,24.69
217579,2023-01-31 01:01:00,7.1,296,24.69
217580,2023-01-31 01:01:00,6.58,296,24.69
217581,2023-01-31 01:01:00,7.33,296,24.69
217583,2023-01-31 01:01:00,7.26,296,24.69
217584,2023-01-31 01:01:00,6.5,296,24.69
217585,2023-01-31 01:01:00,7.23,294,24.69
217589,2023-01-31 01:02:00,7.27,296,24.69
217591,2023-01-31 01:02:00,7.04,298,24.69
217592,2023-01-31 01:02:00,6.65,296,24.69
217593,2023-01-31 01:02:00,7.3,296,24.69
217595,2023-01-31 01:02:00,7.29,294,24.69
217596,2023-01-31 01:02:00,7.02,298,24.69
217597,2023-01-31 01:02:00,7.31,294,24.69
217599,2023-01-31 01:02:00,7.37,296,24.69
217602,2023-01-31 01:02:00,6.96,294,24.69
217603,2023-01-31 01:02:00,7.29,296,24.69
217604,2023-01-31 01:02:00,7.22,294,24.69
217609,2023-01-31 01:02:00,7.15,298,24.69
217610,2023-01-31 01:02:00,7.25,294,24.69
217612,2023-01-31 01:02:00,7.32,294,24.69
217613,2023-01-31 01:03:00,6.55,294,24.69
217615,2023-01-31 01:03:00,7.01,294,24.69
217618,2023-01-31 01:03:00,6.7,296,24.69
217620,2023-01-31 01:03:00,6.68,294,24.69
217622,2023-01-31 01:03:00,7.03,296,24.69
217623,2023-01-31 01:03:00,7.28,296,24.69
217624,2023-01-31 01:03:00,7.05,294,24.69
217625,2023-01-31 01:03:00,6.94,294,24.69
217627,2023-01-31 01:03:00,7.34,294,24.69
217629,2023-01-31 01:03:00,6.93,296,24.69
217634,2023-01-31 01:03:00,6.65,294,24.69
217641,2023-01-31 01:04:00,6.67,294,24.69
217645,2023-01-31 01:04:00,7.06,294,24.69
217647,2023-01-31 01:04:00,7.24,294,24.69
217648,2023-01-31 01:04:00,6.72,294,24.69
217650,2023-01-31 01:04:00,7.19,298,24.69
217653,2023-01-31 01:04:00,6.6,296,24.69
217655,2023-01-31 01:05:00,6.57,298,24.69
217656,2023-01-31 01:05:00,7.04,296,24.69
217658,2023-01-31 01:05:00,7.28,296,24.69
217664,2023-01-31 01:05:00,7.15,296,24.69
217671,2023-01-31 01:05:00,6.77,298,24.69
217673,2023-01-31 01:05:00,6.94,298,24.69
217674,2023-01-31 01:05:00,6.6,294,24.69
217681,2023-01-31 01:06:00,7.17,294,24.69
217682,2023-01-31 01:06:00,7.24,294,24.69
217683,2023-01-31 01:06:00,7.24,296,24.69
217685,2023-01-31 01:06:00,6.76,298,24.69
217686,2023-01-31 01:06:00,7.23,298,24.69
217691,2023-01-31 01:06:00,7.13,296,24.69
217692,2023-01-31 01:06:00,7.33,296,24.69
217693,2023-01-31 01:06:00,7.02,296,24.69
217695,2023-01-31 01:06:00,6.98,294,24.69
217696,2023-01-31 01:06:00,7.3,294,24.69
217699,2023-01-31 01:07:00,7.26,294,24.69
217701,2023-01-31 01:07:00,6.93,296,24.69
217705,2023-01-31 01:07:00,7.21,294,24.69
217706,2023-01-31 01:07:00,7.33,296,24.69
217708,2023-01-31 01:07:00,7.06,294,24.69
217714,2023-01-31 01:07:00,7.1,296,24.69
217715,2023-01-31 01:07:00,6.73,298,24.69
217720,2023-01-31 01:08:00,7.31,294,24.69
217721,2023-01-31 01:08:00,7.22,296,24.69
217726,2023-01-31 01:08:00,7.35,294,24.69
217727,2023-01-31 01:08:00,7.32,296,24.69
217728,2023-01-31 01:08:00,7.15,296,24.69
217730,2023-01-31 01:08:00,7.39,294,24.69
217731,2023-01-31 01:08:00,7.16,296,24.69
217740,2023-01-31 01:09:00,6.99,298,24.69
217741,2023-01-31 01:09:00,7.02,296,24.69
217742,2023-01-31 01:09:00,7.31,296,24.69
217743,2023-01-31 01:09:00,6.7,296,24.69
217744,2023-01-31 01:09:00,7.29,296,24.69
217745,2023-01-31 01:09:00,7.23,294,24.69
217746,2023-01-31 01:09:00,7.29,294,24.69
217747,2023-01-31 01:09:00,6.69,294,24.69
217748,2023-01-31 01:09:00,7.08,296,24.69
217749,2023-01-31 01:09:00,6.99,296,24.69
217751,2023-01-31 01:09:00,7.03,296,24.69
217752,2023-01-31 01:09:00,6.58,294,24.69
217753,2023-01-31 01:09:00,7.2,298,24.63
217754,2023-01-31 01:09:00,6.5,296,24.69
217759,2023-01-31 01:09:00,7.17,294,24.69
217760,2023-01-31 01:09:00,6.82,296,24.69
217764,2023-01-31 01:10:00,7.17,296,24.69
217765,2023-01-31 01:10:00,7.23,294,24.69
217769,2023-01-31 01:10:00,7.27,296,24.69
217770,2023-01-31 01:10:00,6.52,296,24.69
217771,2023-01-31 01:10:00,7.2,296,24.69
217773,2023-01-31 01:10:00,6.92,294,24.69
217774,2023-01-31 01:10:00,6.5,298,24.69
217776,2023-01-31 01:10:00,6.93,293,24.69
217778,2023-01-31 01:10:00,7.27,294,24.69
217779,2023-01-31 01:10:00,6.88,294,24.69
217785,2023-01-31 01:11:00,7.18,294,24.69
217786,2023-01-31 01:11:00,7.26,296,24.69
